Gene ID,Gene Symbol,HCB1-21,HCB2-21,HCB3-21,HCB5-21,HCB6-21,HCB7-21,HCB8-21,HCB9-21,HCB10-21,HCB11-21,PTB1-21,PTB1-22,PTB2-21,PTB2-22,PTB3-21,PTB3-22,PTB4-21,PTB5-21,PTB6-21,PTB7-21,PTB8-21,PTB9-21,PTB10-21,PTB11-21,PTB12-21,PTB13-21
1373,'CPS1',0.09,0.0,0.0,0.0,0.05,0.04,0.06,0.0,0.06,0.0,0.08,0.02,0.02,0.06,0.03,0.04,0.21,0.0,0.02,0.0,0.05,0.03,0.0,0.03,0.0,0.0
137392,'FAM92A',0.38,1.41,0.87,1.15,0.29,0.31,0.46,0.32,0.55,0.57,0.72,4.46,2.38,2.09,0.74,0.85,0.23,1.39,1.68,0.14,1.61,1.86,0.42,0.3,0.22,1.31
1374,'CPT1A',65.11,24.49,55.32,45.84,38.37,44.37,67.47,48.42,32.62,33.23,49.77,32.23,32.66,40.24,29.65,33.62,30.37,36.62,47.29,13.55,43.53,32.76,26.0,34.93,15.12,22.79
137492,'VPS37A',15.37,7.85,11.4,9.82,9.97,8.91,14.56,14.74,7.57,9.85,14.04,13.65,18.91,15.29,15.07,8.8,6.16,13.84,19.73,9.67,16.61,9.88,8.09,11.98,3.49,6.96
1375,'CPT1B',10.12,28.93,24.22,15.81,13.37,18.3,13.84,4.98,15.35,15.33,9.57,18.08,12.07,44.18,12.48,25.63,13.47,10.93,18.77,10.37,20.88,12.09,19.52,6.04,37.53,37.72
1376,'CPT2',18.68,9.73,7.99,8.88,7.83,8.2,14.65,15.4,6.4,7.24,17.43,16.4,17.08,16.0,24.2,17.98,15.89,25.06,18.93,24.06,20.62,19.33,8.46,24.31,5.14,9.32
137682,'NDUFAF6',4.94,2.58,3.23,3.47,4.76,5.35,4.77,4.55,4.9,5.26,5.13,5.22,5.88,6.22,7.39,7.04,7.0,10.41,5.94,6.15,5.48,4.88,2.05,5.95,3.94,4.89
137695,'TMEM68',7.45,2.85,4.0,4.69,3.27,4.34,7.6,7.4,6.45,4.81,5.12,13.59,5.6,13.02,12.45,12.52,7.08,13.84,8.46,9.41,6.87,3.37,1.29,7.18,2.54,2.99
137735,'ABRA',0.0,0.0,0.0,0.04,0.0,0.11,0.04,0.0,0.0,0.12,0.04,0.04,0.04,0.0,0.05,0.04,0.0,0.18,0.0,0.05,0.04,0.0,0.0,0.0,0.18,0.0
137797,'LYPD2',37.12,56.73,32.91,30.4,61.03,16.87,18.57,41.85,29.26,63.27,1.97,0.4,0.21,0.0,0.5,0.0,0.0,0.25,2.76,0.0,6.16,0.0,0.0,0.28,0.23,0.0
1378,'CR1',28.99,44.99,48.01,22.09,19.88,15.44,20.93,18.99,22.61,19.91,19.04,23.24,31.03,19.71,12.45,20.29,2.52,18.25,38.07,6.46,22.27,22.93,89.57,9.17,6.78,40.08
