Gene ID,Gene Symbol,HCB1-21,HCB2-21,HCB3-21,HCB5-21,HCB6-21,HCB7-21,HCB8-21,HCB9-21,HCB10-21,HCB11-21,PTB1-21,PTB1-22,PTB2-21,PTB2-22,PTB3-21,PTB3-22,PTB4-21,PTB5-21,PTB6-21,PTB7-21,PTB8-21,PTB9-21,PTB10-21,PTB11-21,PTB12-21,PTB13-21
1,'A1BG',2.52,2.69,3.88,1.79,3.74,2.97,3.23,3.42,4.12,4.47,2.16,1.76,1.58,1.52,1.8,0.59,2.53,1.03,2.44,1.85,2.38,1.69,1.61,1.19,2.13,1.75
100,'ADA',32.87,12.3,28.91,29.54,24.33,24.13,30.08,39.23,16.0,24.72,48.62,42.78,28.8,71.91,92.16,115.51,77.21,104.87,48.45,71.44,38.44,75.32,9.81,93.56,26.21,46.43
1000,'CDH2',0.46,0.44,0.29,0.0,0.06,0.11,0.18,0.0,0.13,0.32,0.41,0.11,0.04,0.15,0.09,0.06,0.15,0.32,0.0,0.07,0.0,0.1,0.06,0.05,0.0,0.0
10000,'AKT3',9.29,4.55,6.04,6.93,5.6,6.71,12.89,11.33,11.01,10.0,9.64,14.53,7.04,8.22,5.82,5.51,3.59,9.39,10.33,5.25,9.62,4.14,1.81,6.46,3.25,2.3
10001,'MED6',15.79,5.62,6.62,6.49,6.23,7.23,15.57,13.85,10.66,11.21,18.35,17.02,12.52,20.4,24.42,24.27,23.34,28.95,14.52,22.5,18.8,12.55,3.34,18.94,7.43,7.18
10003,'NAALAD2',0.45,0.33,0.72,0.48,0.53,0.8,0.75,1.05,0.7,0.62,0.16,0.37,0.44,1.32,0.4,0.75,0.19,0.27,0.66,0.17,0.55,0.16,0.23,0.18,0.59,0.52
100037417,'DDTL',2.06,2.23,3.0,1.85,2.01,2.16,3.29,5.91,2.08,3.5,2.77,1.73,2.82,3.34,3.34,1.58,5.37,2.89,3.56,2.01,3.67,2.49,1.97,2.33,2.57,4.28
10004,'NAALADL1',5.22,3.51,4.76,4.85,7.75,7.05,5.79,7.25,4.15,4.33,2.47,2.95,5.39,3.05,3.25,1.67,2.98,1.83,5.89,2.1,4.55,4.81,1.89,2.97,2.84,3.42
100049587,'SIGLEC14',89.79,71.22,104.82,61.65,0.0,18.25,0.03,33.17,0.02,0.45,93.77,78.13,211.78,68.62,44.66,138.81,0.15,0.0,205.38,18.35,0.0,0.0,0.0,17.8,0.0,311.6
10005,'ACOT8',25.79,24.26,30.7,32.76,31.63,30.43,24.74,26.23,20.92,22.9,26.72,26.38,34.97,24.68,36.52,24.75,35.3,33.21,35.99,28.82,33.61,33.77,19.37,21.47,21.54,21.04
10006,'ABI1',81.28,59.32,63.72,56.42,49.39,48.44,78.0,78.18,53.13,65.88,82.81,92.76,74.05,103.37,85.83,103.6,41.77,67.57,100.3,69.94,79.51,54.58,49.8,82.91,31.74,70.66
10007,'GNPDA1',27.27,11.92,21.07,19.67,14.87,14.14,21.43,23.4,12.44,12.52,17.74,38.39,29.99,25.14,24.43,18.32,18.82,24.62,36.25,17.61,34.18,19.13,14.41,15.88,6.23,13.42
10008,'KCNE3',59.88,20.62,40.18,48.56,22.37,12.69,34.68,38.34,11.25,16.88,11.85,39.99,73.76,20.49,27.17,15.86,4.44,15.14,70.91,7.77,73.48,17.5,45.77,12.65,5.76,14.13
10009,'ZBTB33',24.97,10.57,12.25,13.61,12.89,13.02,27.22,21.58,19.41,22.55,17.71,19.46,17.95,24.84,19.76,17.08,7.66,16.69,25.13,13.8,26.71,8.81,2.96,14.27,6.37,9.63
1001,'CDH3',0.06,0.1,0.03,0.03,0.12,0.16,0.06,0.06,0.06,0.1,0.03,0.05,0.09,0.03,0.0,0.06,0.17,0.0,0.13,0.08,0.06,0.04,0.0,0.0,0.07,0.07
10010,'TANK',58.5,50.89,45.66,41.55,35.79,37.36,46.8,48.81,42.06,40.47,73.69,79.96,72.78,127.93,62.1,107.29,31.34,65.17,77.44,39.8,76.92,32.14,41.04,44.66,12.73,55.18
100101267,'POM121C',72.56,52.14,64.13,57.83,63.17,51.39,82.88,80.53,63.92,59.14,76.82,31.61,51.29,29.95,58.97,24.12,22.88,55.28,64.48,61.18,58.82,107.6,30.04,87.87,27.89,47.58
100101467,'ZSCAN30',2.24,1.31,2.73,1.89,2.59,2.39,2.73,2.82,1.72,1.84,2.07,4.25,1.72,5.43,2.33,4.7,1.56,1.85,4.2,3.16,1.43,1.62,0.57,1.78,1.36,1.51
10011,'SRA1',31.91,38.38,37.13,32.73,32.35,26.07,26.28,31.7,37.34,35.56,52.56,46.26,43.71,46.12,48.21,47.28,53.68,60.48,46.68,65.09,44.09,51.31,40.88,53.58,45.76,65.53
100113407,'TMEM170B',14.64,12.97,13.33,13.71,13.44,5.89,15.33,13.17,7.66,13.67,7.21,30.34,14.81,21.72,8.33,17.57,1.98,5.3,21.86,3.02,20.19,6.31,9.55,2.54,2.56,6.13
100125288,'ZGLP1',1.8,2.86,2.52,2.08,2.06,2.1,2.15,2.39,1.67,1.64,1.1,1.2,2.12,1.46,1.73,1.16,2.45,1.24,2.35,0.43,2.0,1.43,2.36,1.28,2.96,1.93
100127983,'C8orf88',0.43,0.34,0.88,0.85,0.35,0.3,0.71,0.9,0.42,0.89,0.57,0.43,0.65,0.89,0.81,1.05,0.98,0.63,0.59,0.55,0.56,0.13,4.05,0.15,0.61,0.5
100128071,'FAM229A',1.7,5.88,4.43,3.23,4.87,4.45,3.33,3.44,5.68,7.03,2.17,0.97,2.08,2.81,0.21,0.92,1.87,0.41,4.0,1.33,0.55,1.46,5.03,0.23,2.3,2.85
100128108,'LOC100128108',4.54,4.33,6.62,4.88,11.22,8.49,7.63,6.69,6.15,8.3,4.9,4.16,2.44,6.7,3.05,4.08,4.62,2.37,4.04,3.52,5.06,1.01,1.29,1.45,2.47,2.61
100128242,'LOC100128242',0.25,0.82,1.46,0.97,2.62,1.68,3.68,1.59,3.22,3.12,3.72,0.0,2.99,0.0,1.69,0.0,0.0,0.0,0.43,2.7,0.0,2.56,0.5,1.89,2.1,0.0
100128327,'TRAPPC3L',1.31,1.5,1.9,1.32,0.63,1.98,1.99,2.26,0.99,1.36,0.21,0.85,2.27,0.77,0.86,0.22,0.0,0.0,3.76,0.13,1.08,0.25,0.3,0.0,0.35,0.8
100128553,'CTAGE4',0.58,0.78,0.0,0.67,0.48,1.59,1.17,1.99,1.16,1.48,0.75,0.7,0.0,0.42,0.42,1.46,2.24,2.32,0.53,0.58,0.43,1.07,0.28,1.35,0.57,1.13
100128569,'C19orf71',2.84,7.21,5.31,3.21,6.74,4.14,5.24,3.93,3.82,7.69,3.48,2.92,0.42,5.31,0.5,2.9,1.12,0.73,6.09,1.6,1.1,1.75,3.69,0.73,3.81,8.96
100128731,'OST4',1383.96,761.15,1157.6,1068.99,1152.19,1259.13,1701.72,1246.24,1003.3,959.57,1043.96,502.42,1046.94,342.3,1160.06,501.6,1218.22,1453.54,1215.22,1516.72,866.81,1788.03,1028.43,1528.4,824.2,934.95
100128927,'ZBTB42',3.17,1.73,1.99,2.4,2.43,2.4,3.41,2.81,2.04,3.02,2.22,3.55,4.67,4.11,3.55,3.76,2.76,2.18,4.18,2.31,4.1,3.65,0.67,3.15,0.69,1.44
100129083,'LOC100129083',0.55,3.12,5.27,5.15,4.69,9.44,5.41,4.08,2.18,4.76,2.56,2.55,2.77,3.38,1.95,1.06,0.65,1.22,4.51,2.33,5.67,3.39,0.41,3.51,3.46,3.97
100129094,'BTNL10',0.05,0.06,0.15,0.0,0.18,0.29,0.0,0.31,0.29,0.15,0.0,0.1,0.0,0.32,0.06,0.04,0.12,0.0,0.11,0.07,0.16,0.04,0.44,0.04,3.44,0.33
100129128,'KHDC1L',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.2,0.2,0.0,0.0,0.0,0.0,0.62,0.35,0.0,0.0,0.49,0.0,0.23,0.0,0.26,0.21,0.21
100129250,'SMIM27',13.81,34.32,18.09,14.06,25.8,21.94,19.67,14.76,26.07,17.06,17.81,19.48,9.98,16.7,17.84,24.49,21.03,16.29,18.49,19.13,14.57,10.91,13.11,14.46,8.95,10.14
100129278,'TDRD15',0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.01,0.0,0.02,0.01,0.0,0.05,0.12,0.11,0.16,0.02,0.03,0.17,0.08,0.02,0.03,0.02,0.02,0.02
100129361,'SMIM10L1',9.76,6.27,8.03,7.84,8.3,10.6,11.1,8.34,9.15,9.63,6.76,8.39,8.63,8.61,8.75,8.4,6.47,8.51,7.5,8.84,8.69,8.27,6.28,8.68,5.29,5.78
100129396,'FAM106CP',0.15,0.0,0.06,0.17,0.3,0.0,0.26,0.0,0.0,0.06,0.0,0.0,0.0,0.09,0.0,0.0,0.27,0.0,0.31,0.0,0.0,0.0,0.07,0.0,0.08,0.35
100129480,'MKRN2OS',0.09,0.24,0.07,0.21,0.0,0.0,0.15,0.11,0.0,0.14,0.0,0.06,0.0,0.51,0.0,0.0,0.21,0.07,0.11,0.0,0.11,0.19,0.19,0.0,0.45,0.0
100129484,'LOC100129484',0.28,0.56,0.64,0.49,0.42,0.28,0.27,0.22,0.12,0.13,0.26,0.26,0.29,0.09,0.05,0.09,0.08,0.0,0.5,0.0,0.35,0.15,0.49,0.11,0.05,0.46
100129515,'ETDB',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0
100129528,'MUC8',0.15,0.26,0.87,0.39,0.46,0.1,1.23,0.16,0.24,0.56,0.05,0.58,0.4,0.42,0.24,0.0,0.55,0.17,1.0,0.13,0.53,0.06,0.39,0.0,3.44,0.89
100129543,'ZNF730',0.12,0.05,0.17,0.14,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.04,0.58,0.0,0.5,0.2,0.41,0.1,0.05,0.17,0.0,0.22,0.0,0.13
100129583,'FAM47E',0.0,0.0,0.07,0.2,0.07,0.07,0.22,0.21,0.0,0.21,0.0,0.12,0.48,0.22,0.16,0.14,0.0,0.4,0.0,0.09,0.07,0.0,0.14,0.28,0.31,0.08
100129697,'LOC100129697',1.75,1.64,0.81,0.7,0.59,0.83,0.77,0.3,0.21,0.58,0.52,2.07,1.86,1.13,0.6,0.97,0.0,0.17,2.22,0.64,1.81,0.79,1.48,0.48,0.24,0.48
100129792,'CCDC152',2.16,0.32,0.87,0.76,0.51,1.18,2.27,2.08,0.66,1.06,1.72,1.51,0.87,2.07,2.31,2.72,1.65,1.26,2.16,1.79,0.57,1.32,0.26,1.64,0.67,0.49
100129842,'ZNF737',14.28,4.33,7.0,3.99,7.19,7.66,22.35,19.24,5.63,5.13,8.69,13.09,7.71,11.75,9.43,8.18,3.98,7.42,13.29,5.91,10.94,3.06,1.51,5.6,3.24,1.84
100129924,'TMEM269',0.09,0.3,0.0,0.03,0.17,0.09,0.17,0.17,0.19,0.23,0.07,0.06,0.06,0.2,0.12,0.0,0.83,0.15,0.21,0.12,0.24,0.12,0.16,0.13,0.81,0.22
100129940,'LOC100129940',0.33,0.19,0.37,0.79,0.23,0.32,0.24,0.49,0.11,0.11,0.12,0.04,0.0,0.43,0.3,0.33,1.58,0.05,0.12,0.0,0.87,0.14,0.35,0.0,0.69,0.38
10013,'HDAC6',21.32,17.35,20.38,18.96,17.35,17.52,26.44,27.44,12.95,18.44,18.92,19.62,23.56,28.92,30.06,30.21,23.58,24.91,25.48,24.91,26.59,26.84,14.38,24.92,39.38,23.35
100130301,'C8orf89',0.22,0.23,0.0,0.0,0.3,0.21,0.95,0.23,0.86,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100130311,'C17orf107',0.48,1.89,1.16,0.7,2.02,0.95,0.6,0.67,4.35,3.44,7.58,0.56,0.53,1.49,0.84,0.78,1.29,1.78,2.74,1.4,0.89,1.7,0.74,2.0,0.72,2.4
100130357,'LOC100130357',0.33,1.34,0.49,0.65,0.64,0.87,0.76,0.4,0.78,1.11,0.35,0.38,0.38,1.74,0.74,1.18,0.7,0.55,0.9,0.06,0.4,0.23,1.32,0.19,0.59,1.7
100130370,'LOC100130370',0.26,0.5,0.81,0.32,0.82,1.23,1.02,1.42,0.2,0.38,0.08,0.25,0.76,0.23,0.14,0.15,0.64,0.17,0.74,0.09,0.7,0.42,2.06,0.18,0.89,0.47
100130451,'LOC100130451',0.43,0.76,0.43,0.5,0.94,0.63,0.94,0.57,0.63,0.8,0.41,0.47,0.4,0.81,0.42,0.38,2.82,0.1,0.77,0.34,0.37,0.21,0.49,0.14,0.64,0.39
100130519,'TMEM221',0.2,0.18,0.13,0.0,0.18,0.22,0.31,0.24,0.06,0.06,0.08,0.07,0.13,0.14,0.37,0.12,0.46,0.0,0.0,0.07,0.36,0.0,0.17,0.0,0.32,0.26
100130520,'CD300H',44.04,15.96,35.65,37.78,20.68,39.88,19.32,62.18,38.27,18.02,17.01,95.95,114.27,11.89,51.91,10.78,7.58,16.82,85.86,5.54,85.31,33.52,42.13,15.68,7.69,21.88
100130705,'ATP6V1FNB',0.3,0.35,0.32,0.27,0.63,0.43,0.48,0.29,0.32,0.31,0.38,0.2,0.22,0.41,0.27,0.49,0.56,0.29,0.5,0.39,0.32,0.21,0.5,0.26,0.82,0.31
100130733,'LRRC70',1.1,1.23,0.65,0.38,1.15,0.94,0.99,0.87,1.27,1.79,0.56,0.61,0.24,1.84,0.41,0.56,0.36,0.51,0.76,0.13,0.72,0.36,6.89,0.13,1.1,1.58
100130742,'LRRC69',0.65,0.18,0.28,0.17,0.41,0.33,0.18,0.09,0.26,0.17,0.0,0.16,0.0,0.52,0.31,0.09,0.24,0.2,0.19,0.22,0.54,0.1,0.26,0.0,0.1,0.19
100130771,'EFCAB10',0.16,0.0,0.08,0.15,0.0,0.0,0.0,0.14,0.08,0.0,0.08,0.0,0.0,0.28,0.0,0.09,0.0,0.1,0.17,0.0,0.0,0.0,0.08,0.0,0.45,0.0
100130890,'TSTD3',3.38,5.56,3.19,6.67,5.71,4.76,7.87,9.1,4.62,7.06,5.14,6.92,3.95,7.55,5.48,6.54,10.2,4.32,5.36,4.72,5.23,5.43,2.9,4.06,5.37,3.62
100130933,'SMIM6',0.0,0.3,0.0,0.14,0.29,0.41,0.31,0.15,0.28,0.15,0.0,1.32,0.71,0.15,0.51,0.3,0.26,0.0,1.26,0.0,0.0,0.52,0.42,0.0,0.32,0.63
100130958,'SYCE1L',0.64,1.01,0.67,0.8,1.15,1.87,1.93,2.57,1.74,1.16,1.72,0.38,0.16,0.18,1.36,0.35,2.36,0.38,0.54,1.67,0.72,0.33,1.27,1.31,2.17,1.52
100130967,'C6orf99',0.12,0.13,0.0,0.0,0.23,0.23,0.0,0.25,0.58,0.65,0.62,0.46,0.48,3.16,2.38,1.49,2.76,0.93,0.0,0.9,0.0,0.0,0.5,1.14,0.95,0.66
100131017,'ZNF316',13.18,32.5,25.14,21.97,26.08,20.93,19.36,17.38,23.02,26.22,13.4,14.01,17.76,15.31,11.84,11.88,11.22,6.9,23.16,10.79,18.85,14.56,22.64,10.43,15.9,13.85
100131094,'DPP9-AS1',0.04,0.34,0.42,0.52,0.33,0.48,0.28,0.31,0.17,0.44,0.17,0.27,0.12,0.81,0.24,0.26,0.41,0.1,0.61,0.15,0.0,0.2,0.39,0.06,1.53,0.7
100131107,'LOC100131107',0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0
100131187,'TSTD1',44.84,28.23,26.35,29.35,66.49,51.04,41.08,39.37,53.48,49.09,37.79,47.71,24.49,42.56,52.34,59.37,53.0,30.94,27.08,45.25,18.88,33.25,17.97,27.97,18.27,29.47
100131211,'NEMP2',5.71,2.76,5.66,5.54,4.7,6.19,8.85,7.19,4.24,4.35,5.88,8.4,3.28,7.42,6.52,7.19,8.04,5.77,7.35,7.73,5.38,4.2,1.26,6.18,2.59,2.5
100131244,'ANKRD63',0.05,0.08,0.0,0.03,0.05,0.05,0.05,0.11,0.0,0.08,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.0,0.03,0.05,0.0,0.03,0.0
100131303,'DPEP2NB',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100131378,'C11orf91',0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.14,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.14
100131439,'CD300LD',0.08,0.36,0.27,0.09,0.18,0.25,0.28,0.27,1.59,0.44,0.27,0.08,0.0,0.0,0.0,0.0,0.0,0.2,0.29,0.11,0.18,0.21,0.51,0.23,0.0,0.0
100131539,'ZNF705E',0.06,0.07,0.03,0.06,0.32,0.12,0.1,0.0,0.09,0.16,0.07,0.14,0.0,0.26,0.08,0.26,0.0,0.11,0.28,0.36,0.0,0.19,0.06,0.17,0.11,0.38
100131755,'ARMCX4',0.53,0.17,0.28,0.32,0.74,0.54,1.12,0.66,0.82,0.57,0.34,0.85,0.33,0.64,0.39,0.44,0.5,0.42,0.53,0.31,0.36,0.37,0.11,0.41,0.64,0.32
100131801,'PET100',82.91,103.94,95.85,100.12,94.58,108.16,74.86,82.27,86.56,88.25,128.65,181.37,64.39,209.71,126.32,291.61,305.81,161.79,78.76,153.29,82.92,119.64,62.09,119.6,62.84,84.15
100131827,'ZNF717',4.98,1.03,2.2,4.65,2.27,2.67,4.48,4.51,2.78,2.87,3.66,6.29,2.76,4.24,2.26,4.25,4.67,2.61,5.44,2.7,4.49,1.89,0.78,2.71,2.78,2.06
100131897,'INSYN2B',0.0,0.17,0.15,0.05,0.13,0.0,0.0,0.04,0.08,0.07,0.02,0.05,0.0,0.19,0.0,0.11,0.44,0.0,0.1,0.0,0.0,0.0,0.12,0.0,0.06,0.38
100132074,'FOXO6',0.4,0.43,0.09,0.45,0.38,0.58,0.15,0.29,0.53,0.28,0.05,0.08,0.09,0.05,0.16,0.0,0.08,0.0,0.25,0.0,0.24,0.39,0.36,0.0,0.0,0.15
100132247,'NPIPB5',39.15,62.12,49.27,50.09,86.03,43.35,48.8,36.22,32.97,66.1,33.41,12.97,73.32,25.5,16.64,19.26,37.58,22.68,75.94,35.36,47.95,62.3,37.21,34.53,334.21,110.5
100132285,'KIR2DS2',2.09,0.6,4.31,0.46,0.59,0.88,0.13,35.68,0.29,2.13,0.63,5.67,0.2,0.0,7.24,17.97,0.27,0.0,0.22,2.25,20.31,15.55,0.0,0.0,9.17,2.87
100132406,'NBPF10',18.01,17.02,17.2,13.37,9.39,10.11,8.07,13.17,11.35,12.29,8.4,32.7,16.36,24.02,7.71,15.42,1.28,4.79,11.09,4.43,16.57,6.82,13.22,4.79,4.68,8.22
100132463,'CLDN24',0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.68,0.0,0.75,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0
100132874,'LOC100132874',0.03,0.0,0.03,0.03,0.05,0.03,0.03,0.03,0.0,0.03,0.0,0.19,0.0,0.03,0.03,0.0,0.91,0.03,0.12,0.0,0.03,0.13,0.15,0.04,0.0,0.03
100132911,'DPH3P1',1.06,1.09,1.42,0.85,1.02,1.09,1.6,1.76,1.63,1.65,0.91,3.62,1.02,3.04,1.32,0.72,1.36,1.21,1.29,1.23,0.9,0.67,1.86,0.0,2.14,1.66
100132963,'SMIM9',0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100133204,'C9orf147',0.07,0.16,0.19,0.07,0.31,0.15,0.04,0.0,0.11,0.23,0.08,0.2,0.15,0.16,0.09,0.04,0.07,0.13,0.21,0.34,0.2,0.23,0.22,0.15,0.17,0.48
100133220,'GOLGA6L3',0.17,0.26,0.0,0.16,0.24,0.75,0.13,0.0,0.23,0.0,0.29,0.45,0.12,0.22,0.1,0.39,0.0,0.0,0.36,0.2,0.0,0.0,0.08,0.18,0.0,0.19
100133251,'PRR23D2',0.0,0.0,0.07,0.24,0.12,0.13,0.07,0.19,0.2,0.07,0.14,0.0,0.0,0.15,0.17,0.0,0.22,0.08,0.07,0.0,0.0,0.5,0.0,0.28,0.0,0.23
100133301,'100133301',0.21,0.25,0.46,0.1,0.19,0.36,0.65,0.61,0.08,0.11,0.11,0.26,0.13,0.03,0.0,0.03,1.22,0.09,0.18,0.0,0.14,0.0,0.05,0.04,0.0,0.03
100133941,'CD24',43.72,24.71,11.29,102.63,36.64,50.88,27.5,27.11,21.53,14.46,13.76,16.86,43.87,13.29,20.88,32.19,24.65,8.21,17.36,9.95,7.85,5.19,17.2,14.21,7.88,14.21
100134391,'LOC100134391',0.0,0.05,0.0,0.0,0.0,0.0,0.21,0.3,0.0,0.15,0.0,0.0,0.0,0.2,0.06,0.05,1.09,0.0,0.05,0.06,0.05,0.0,0.0,0.07,0.0,0.0
100134934,'TEN1',17.78,15.13,22.34,18.36,30.62,20.3,18.99,22.01,20.07,29.97,25.87,23.84,12.52,19.24,12.89,21.75,32.08,20.74,21.48,17.72,11.75,17.16,16.9,18.31,12.31,19.49
100134938,'UPK3BL1',13.78,11.36,27.76,53.15,40.93,34.85,36.87,53.93,21.06,15.74,25.02,13.15,21.7,27.02,17.49,40.68,26.99,22.17,48.93,8.78,44.91,23.15,11.88,5.04,45.98,72.54
100137047,'JMJD7',8.88,10.35,12.53,10.58,15.55,13.43,13.5,19.65,11.21,15.31,14.87,11.01,7.01,13.99,9.39,12.89,13.01,6.43,12.29,11.1,9.47,11.13,6.97,14.46,5.33,7.9
100137049,'PLA2G4B',3.45,1.72,3.68,7.19,14.85,8.23,12.13,12.27,7.84,11.59,3.44,3.84,5.09,9.17,3.64,5.84,10.51,1.47,14.03,0.0,6.4,0.0,8.11,0.0,26.38,3.63
10014,'HDAC5',39.85,52.74,44.36,37.77,36.56,35.61,38.33,36.16,37.1,34.28,15.87,24.62,56.67,20.88,28.08,19.16,17.35,15.32,46.45,14.79,34.38,27.35,42.48,20.43,21.53,32.36
100141515,'C17orf99',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.24,0.09,0.0,0.0,0.17,0.56,0.0,0.15,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.92,0.0
100142659,'CTAGE8',0.98,0.92,0.43,0.13,0.8,0.25,0.93,0.25,0.37,0.54,0.57,0.37,0.66,0.87,1.3,0.82,0.0,1.35,0.72,0.95,0.21,0.95,0.25,1.45,0.83,1.35
100144748,'KLLN',0.91,1.03,0.26,0.57,0.8,0.66,0.67,0.68,0.44,0.44,0.55,0.67,0.51,1.44,0.78,1.06,0.23,0.5,1.37,0.42,0.85,0.87,0.62,0.82,0.29,1.1
10015,'PDCD6IP',58.1,47.97,70.41,57.93,41.45,49.37,71.58,80.87,43.41,43.31,59.84,73.42,75.57,66.92,68.21,51.75,26.75,54.77,83.1,46.79,85.37,66.64,38.32,45.4,21.96,45.31
10016,'PDCD6',93.13,71.81,80.77,79.99,80.39,72.8,81.78,101.42,67.79,68.46,73.7,136.1,65.98,119.24,87.29,104.77,95.39,89.28,94.78,76.98,88.65,69.63,43.39,53.02,28.68,51.05
10017,'BCL2L10',0.18,0.09,0.0,0.0,0.09,0.09,0.0,0.1,0.09,0.18,0.0,0.0,0.0,0.19,0.11,0.19,0.0,0.11,0.0,0.12,0.0,0.0,0.09,0.12,0.51,0.1
100170229,'SRRM5',0.05,0.25,0.14,0.23,0.1,0.14,0.4,0.35,0.27,0.52,0.24,0.21,0.28,0.73,0.22,0.39,0.35,0.33,0.0,0.18,0.25,0.23,0.05,0.06,1.61,0.63
100170841,'EPOP',0.79,0.77,1.66,2.21,1.49,1.88,1.58,0.81,1.33,1.71,3.27,1.41,2.29,3.04,6.29,2.98,2.84,4.88,3.13,3.69,1.77,4.82,0.3,3.5,1.75,2.77
10018,'BCL2L11',34.03,32.4,37.19,25.75,26.73,22.86,33.61,28.03,36.44,32.43,82.58,23.8,32.34,41.1,80.45,66.09,42.94,101.55,28.64,76.0,36.64,58.75,24.75,66.04,23.04,35.84
100188893,'TOMM6',135.09,78.28,99.58,107.98,105.79,114.01,125.55,124.7,94.06,104.13,116.0,105.81,91.68,88.39,145.33,95.05,167.0,180.23,104.41,134.07,111.96,117.49,57.13,140.63,66.1,86.16
10019,'SH2B3',99.46,91.99,92.55,107.82,80.3,55.41,75.09,84.74,59.78,80.84,80.97,94.74,114.03,49.67,64.21,34.02,11.39,31.0,120.36,23.14,131.35,63.38,44.9,31.18,18.45,42.99
100190949,'C5orf52',0.07,0.0,0.0,0.07,0.14,0.0,0.08,0.0,0.14,0.0,0.15,0.0,0.0,0.07,0.0,0.38,0.26,0.33,0.0,0.09,0.0,0.17,0.0,0.1,0.38,0.31
100191040,'C2CD4D',1.33,0.47,0.61,0.38,0.56,0.53,1.67,0.83,1.14,1.0,0.83,0.41,0.4,0.48,0.31,0.24,0.36,0.18,0.43,0.08,0.75,0.4,0.1,0.9,0.0,0.23
1002,'CDH4',0.21,0.07,0.02,0.1,0.24,0.28,0.11,0.3,0.15,0.15,0.04,0.09,0.02,0.11,0.06,0.09,0.19,0.06,0.11,0.06,0.12,0.02,0.1,0.13,0.17,0.08
10020,'GNE',8.47,5.98,6.72,5.68,6.62,6.73,10.39,9.43,8.11,8.4,10.3,11.74,9.41,12.83,14.59,13.21,9.42,15.7,12.59,11.49,11.55,7.9,1.78,11.23,5.1,7.54
10021,'HCN4',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.02,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
10023,'FRAT1',29.35,66.78,32.67,25.04,31.62,20.05,27.44,26.17,26.37,21.38,14.39,31.03,39.69,26.25,15.72,26.76,8.16,10.36,32.34,7.69,36.16,28.37,70.21,11.47,5.83,26.24
10024,'TROAP',1.09,0.27,1.35,2.12,1.3,1.09,0.71,1.33,0.53,1.53,19.87,3.29,3.8,10.53,18.82,13.1,19.49,21.2,5.5,32.86,1.01,35.56,3.42,35.22,12.1,30.1
10025,'MED16',38.98,44.92,40.76,33.66,35.03,38.45,47.34,44.21,29.93,29.99,39.63,34.42,47.66,30.12,54.04,33.28,43.09,49.42,43.78,43.75,42.34,81.47,40.97,64.65,36.32,53.0
10026,'PIGK',16.36,6.78,10.8,11.15,11.41,11.81,18.53,17.46,9.81,11.67,16.94,20.7,9.3,24.76,33.62,32.06,23.91,36.39,13.92,37.23,14.35,11.99,2.44,25.84,3.8,6.94
100271715,'ARHGEF33',0.07,0.08,0.03,0.05,0.21,0.0,0.05,0.08,0.0,0.08,0.0,0.07,0.08,0.1,0.03,0.0,0.14,0.12,0.19,0.03,0.05,0.09,0.0,0.03,0.09,0.11
100271846,'ERVV-2',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
